,ref,publication,city,state,country,award,award_single_word,award_weight,general_category,general_category_single_word,specific_category,name1,title1,name2,title2,name3,title3,name4,title4,name5,title5,name6,title6,name7,title7,name8,title8,name9,title9,name10,title10
169,0094,The Washington Post,Washington,D.C.,United States,Award of Excellence,AE,7,Opinion Design,OPD,"Cover Story/Broadsheet 175,000 and over",Chris Rukan,Art Director,Chloe Coleman,Photo Editor,Robert Miller,Deputy Director of Photography,MaryAnne Golon,Director/Photography,Greg Manifold,Design Director,Brian Gross,Deputy Design Director,Adam Kushner,Outlook Editor,Marisa Bellack,Deputy Outlook Editor,Mike Madden,Deputy Outlook Editor,,
170,0037,The Washington Post,Washington,D.C.,United States,Silver,S,4,Opinion Design,OPD,"Single Page/Broadsheet 175,000 and over",Chris Rukan,Art Director,Jabin Botsfold,Photographer,Chloe Coleman,Photo Editor,Robert Miller,Deputy Director of Photography,Greg Manifold,Design Director,Brian Gross,Deputy Design Director,MaryAnne Golon,Director/Photography,Adam Kushner,Outlook Editor,Marisa Bellack,Deputy Outlook Editor,Mike Madden,Deputy Outlook Editor
171,0928,The Washington Post,Washington,D.C.,United States,Award of Excellence,AE,7,Special Sections,SPS,News/No ads,Chris Rukan,Art Director,Chloe Coleman,Photo Editor,Robert Miller,Deputy Director of Photography,Greg Manifold,Design Director,Brian Gross,Deputy Design Director,MaryAnne Golon,Director of Photography,Adam Kushner,Outlook Editor,Marisa Bellack,Deputy Outlook Editor,Mike Madden,Deputy Outlook Editor,,
172,0100,The Washington Post,Washington,D.C.,United States,Silver,S,4,Breaking News Topics,BNT,Politics/Elections,Staff,,,,,,,,,,,,,,,,,,,
173,0926,The Washington Post,Washington,D.C.,United States,Award of Excellence,AE,7,Combination Print & Digital,CPD,News,Staff,,,,,,,,,,,,,,,,,,,
174,0598,The Washington Post,Washington,D.C.,United States,Award of Excellence,AE,7,"Information Graphics, Multiple",IGM,Single Subject Expanded coverage,Chris Alcantara,Graphics Reporter,Scott Clement,Polling Manager,Chiqui Esteban,Deputy Graphics Director,Emily Guskin,Polling Ananlyst,,,,,,,,,,,,
175,0365,The Washington Post,Washington,D.C.,United States,Award of Excellence,AE,7,"Information Graphics, Single",IGS,Nation & World/Deadline,Chris Alcantara,Graphics Reporter,Scott Clement,Polling Manager,Chiqui Esteban,Deputy Graphics Director,Emily Guskin,Polling Ananlyst,,,,,,,,,,,,
176,0645,The Washington Post,Washington,D.C.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Broadsheet 175,000 and over",Staff,,,,,,,,,,,,,,,,,,,
177,0454,The Washington Post,Washington,D.C.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Inside page/Broadsheet 175,000 and over",Virginia Singarayar,Designer,Brian Gross,Deputy Design Director,Robert Miller,Photo Editor,MaryAnne Golon,Director of Photography,Greg Manifold,Design Director,,,,,,,,,,
178,0270,The Washington Post,Washington,D.C.,United States,Award of Excellence,AE,7,"Photography, Multiple Photos",PMP,Photo Page Design,Melina Mara,Photographer,MaryAnne Golon,Director of Photography,Jabin Botsford,Photographer,Virginia Singarayar,Designer,Greg Manifold,Design Director,Brian Gross,Deputy Design Director,Robert Miller,Deputy Photo Editor,Chloe Coleman,Photo Editor,,,,
179,0213,The Washington Post,Washington,D.C.,United States,Award of Excellence,AE,7,Breaking News Topics,BNT,Politics/Elections,Staff,,,,,,,,,,,,,,,,,,,
180,0480,The Washington Post,Washington,D.C.,United States,Silver,S,4,"Information Graphics, Single",IGS,Nation & World/Deadline,Lazaro Gamio,Graphics Assignment Editor,Dan Keating,Graphics Reporter,,,,,,,,,,,,,,,,
181,0129,Berliner Morgenpost,Berlin,,Germany,Silver,S,4,Breaking News Topics,BNT,ISIS/Terrorism,Carsten Erdmann,Editor-in-Chief,Hans-Juergen Polster,Art Director,Tanja Rylewicz,Designer,Volker Plath,Designer,,,,,,,,,,,,
182,0227,Dagens Nyheter,Stockholm,,Sweden,Silver,S,4,Breaking News Topics,BNT,ISIS/Terrorism,Christian Ferrera,Page Designer,Jrgen Jonasson,Editor,Sara Rimpi,Page Designer,Staff,,,,,,,,,,,,,
183,0135,Politiken,Copenhagen,,Denmark,Silver,S,4,Breaking News Topics,BNT,Obituaries,S¿ren Nyeland,Design Editor,Anne Mette  Svane,Editor-in-Chief,Kaspar Busch,Page Designer,Peter Sch¿ler,News Editor,,,,,,,,,,,,
184,0850,The New York Times,New York,N.Y.,United States,Silver,S,4,Combination Print & Digital,CPD,Features,Gail Bichler,Design Director,Matt Willey,Art Director,Jason Sfetko,Deputy Art Director,Frank Augugliario,Designer,Ben Grandgenett,Designer,Chloe Scheffe,Designer,Kathy Ryan,Director of Photography,Christine Walsh,Photo Editor,Jack Davison,Photographer,Linsey Fields,Digital Design
185,0412,Die Zeit,Hamburg,,Germany,Silver,S,4,"Features Design, Pages",FDP,"Lifestyle/Broadsheet 175,000 and over",Malin Schulz,Art Director,Haika Hinze,Art Director,Jan Kny,Deputy Art Director,Ellen Dietrich,Director/Photography,Staff,,,,,,,,,,,
186,0678,The Guardian,London,,United kingdom,Silver,S,4,"Features Design, Sections",FDS,"Food 175,000 and over",Sara Ramsbottom,Art Director,Suzanne Lemon,Art Director,,,,,,,,,,,,,,,,
187,0675,La Nacin,Vicente Lopez,,Argentina,Silver,S,4,"Features Design, Sections",FDS,"Other 50,000-174,999",Ana Gueller,Art Director,Florencia Abd,Design Editor,Raquel San Martin,Editor,Mara Elina Mndez,Illustrator,Alberto Montt,Illustrator,Alejandro Agdamus,Illustrator,Pablo Bernasconi,Illustrator,Maria Arambur,Photo Editor,,,,
188,0860,La Nacin,Vicente Lopez,,Argentina,Silver,S,4,Illustration,ILL,Individual Portfolio of Work,Ana Gueller,Art Director,Pablo Bernasconi,Illustrator,Maria Helena Garcia,Design Editor,Silvina Nicastro,Design Editor,Marina Vagliente,Design Editor,Staff,,,,,,,,,
189,0600,National Geographic Magazine,Washington,D.C.,United States,Gold & JSR,GJSR,2,"Information Graphics, Single",IGS,Features/Non-Deadline ,Jon Bowen,Graphic Editor,Hannah Tak,Designer,Eve Conant,Text,Daisy Chung,Graphics,Scott Zillmer,Map Editor,Theodore A. Sickley,Map Production,Damien Saunder,Cartographer Director,Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,
190,0601,National Geographic Magazine,Washington,D.C.,United States,Award of Excellence & JSR,AEJSR,6,"Information Graphics, Single",IGS,Features/Non-Deadline ,Matthew Twombly,Graphic Editor,Kaitlin M. Yarnall,"Executive Editor, Cartography, Art, and Graphics",Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,,,
191,0943,The New York Times,New York,N.Y.,United States,Silver,S,4,Magazines,MAG,Cover Design,Gail Bichler,Design Director,Matt Willey,Art Director,Jason Stetko,Deputy Art Director,Triboro,Lettering,,,,,,,,,,,,
192,0945,Variety,Los Angeles,Calif.,United States,Silver,S,4,Magazines,MAG,Cover Design,Chris Mihal,Creative Director,Daniel Zender,Illustrator,,,,,,,,,,,,,,,,
193,1076,Revista Sade,So Paulo,,Brazil,Silver,S,4,Magazines,MAG,Features/Inside Page Design,Leticia Raposo,Art Editor,Robson Quinafelix,Art Director,Thais Mararini,Journalist,Diogo Sponchiato,Journalist,Eduardo Dulla,Photographer,Ina Ramos,Prop stylist,Nik Neves,Illustrator,,,,,,
194,0929,Galileu,Sao Paulo,,Brazil,Gold,G,3,Magazines,MAG,Overall Design,Fernanda Didini,Art Director,Feu,Designer,Joo Brito,Designer,Mayra Martins,Intern Design,,,,,,,,,,,,
195,0936,Verdens Gang,Oslo,,Norway,Silver,S,4,Magazines,MAG,Story Design/Features,Torfinn Weisser,Designer,,,,,,,,,,,,,,,,,,
196,0922,Verdens Gang,Oslo,,Norway,Gold,G,3,Magazines,MAG,Story Design/Features,Hakon Haydal,Journalist,Helge Mikaelsen,Photographer,Simen Grytayr,AD,,,,,,,,,,,,,,
197,0814,Gulf News,Dubai,,United arab emirates,Silver,S,4,Miscellaneous,MIS,,Ramachandra Babu,Senior Illustrator,Jose Luis Barros,Senior Designer,Ador Bustamante,Senior Designer,Nino Jose Heredia,Senior Illustrator,Nasir Khan,Designer,Seyyed de la Llata,Senior Designer,Muhammad Nahas,Junior Infographist,Douglas Okasaki,Senior Designer,Hugo A. Sanchez,Senior Infographist,Dwynn Ronald V. Trazo,Senior Infographist
198,1083,Omaha World-Herald,Omaha,Neb.,United States,JSR (Overall),JSR,5,"News Design, Pages",NDP,"A-Section/Broadsheet 175,000 and over",Staff,,,,,,,,,,,,,,,,,,,
199,0560,Metro So Paulo,So Paulo,,Brazil,Silver,S,4,"News Design, Pages",NDP,"A-Section/Compact 50,000-174,999",Luiz Rivoiro,Editor-in-Chief,Vitor Iwasso,Executive Art Director,,,,,,,,,,,,,,,,
200,0568,The New York Times,New York,N.Y.,United States,Silver,S,4,"News Design, Pages",NDP,"Inside page/Broadsheet 175,000 and over",Wayne Kamidoi,Designer,David Furst,Picture Editor,Daniel Berehulak,Photographer,,,,,,,,,,,,,,
201,0700,The New York Times,New York,N.Y.,United States,Silver,S,4,"Page Design, Staff Portfolio",PDS,"Combination 175,000 and over",Staff,,,,,,,,,,,,,,,,,,,
202,0739,National Post,Toronto,Ont.,Canada,Silver,S,4,"Page Design, Staff Portfolio",PDS,"News 50,000-174,999",Staff,,,,,,,,,,,,,,,,,,,
203,0746,Omaha World-Herald,Omaha,Neb.,United States,Silver,S,4,"Page Design, Staff Portfolio",PDS,"News 50,000-174,999",Tim Parks,Deputy Presentation & Planning Editor,Tammy Yttri,Lead News Designer,Katie Myrick Parks,Digital Designer,Jessicia Thompson,Lead News Designer,Matt Haneey,Artist,Jeff Bundy,Director of Photography,Dave Elsesser,Presentation & Planning Editor,Photo Staff,,,,,
204,0726,The New York Times,New York,N.Y.,United States,Silver,S,4,"Page Design, Staff Portfolio",PDS,"Sports 175,000 and over",Staff,,,,,,,,,,,,,,,,,,,
205,0730,The Plain Dealer,Cleveland,Ohio,United States,Silver,S,4,"Page Design, Staff Portfolio",PDS,"Sports 175,000 and over",Staff,,,,,,,,,,,,,,,,,,,
206,0208,National Geographic Magazine,Washington,D.C.,United States,Silver,S,4,"Photography, Multiple Photos",PMP,Multi-Day Photo Series,Joel Sartore,Photographer,Kathy Moran,Senior Photo Editor,Hannah Tak,Senior Design Editor,Sarah Leen,Director of Photography,Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,
207,0226,Minneapolis Star Tribune,Minneapolis,Minn.,United States,Silver,S,4,"Photography, Multiple Photos",PMP,Photo Page Design,Mike Rice,Features Design Director,Jim Brandenburg,Photographer,Tom Wallace,Photo Editor,Deb Pastner,Director of Photography,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,,,,,,,,
208,0203,National Geographic Magazine,Washington,D.C.,United States,Silver,S,4,"Photography, Multiple Photos",PMP,Single-Day Photo Series,Elaine Bradley,Senior Design Editor,Kathy Moran,Senior Photo Editor,Charlie Hamilton James,Photographer,Sandi Owatverot,Junior Design Director,Matt Twombley,Graphics Editor,Lauren Tierney,Graphics Editor,John Tomanio,Graphics Director,Sarah Leen,Director of Photography,Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief
209,0265,Politiken,Copenhagen,,Denmark,Silver,S,4,"Photography, Multiple Photos",PMP,Staff Portfolio,Staff,,,,,,,,,,,,,,,,,,,
210,0382,Excelsior,Mexico City, ,Mexico,Silver,S,4,Special Coverage,SPC,Sports,Staff,,Angeles Barajas,Creative Coordinator,Ricardo Pea,Design Coordinator,Damin Martnez,Design Coordinator,Marco Romn,Art Manager Editor,Alexandro Medrano,Art Director,Ernesto Rivera,CEO,,,,,,
211,1120,Bild am Sonntag,Berlin,,Germany,Award of Excellence,AE,7,"News Design, Pages",NDP,"Inside page/Compact 175,000 and over",Saulo Santana,Art Director,Marion Horn,Chief Editor,Eva Bauer,Photo Editor,Christian Spreitz,Photographer,Thomas Drechsler,Vice Chief Editor,Tanja Mller,Designer,,,,,,,,
212,0055,Bild am Sonntag,Berlin,,Germany,Award of Excellence,AE,7,Opinion Design,OPD,"Single Page/Compact 175,000 and over",Saulo Santana,Art Director,Marion Horn,Chief Editor,Eva  Bauer,Photo Editor,Christian Spreitz,Photographer,Thomas Drechsler,Vice Chief Editor,Tanja Mller,Designer,,,,,,,,
213,0956,The Boston Globe,Boston,Mass.,United States,Award of Excellence,AE,7,Illustration,ILL,Opinion/Black & White,Heather Hopp-Bruce,Ideas Design supervisor/Illustrator,Katie Kingsbury,Ideas Editor,Alex Kingsbury,Deputy Ideas Editor,Rob Dobi,Illustrator,,,,,,,,,,,,
214,0062,The Boston Globe,Boston,Mass.,United States,Award of Excellence,AE,7,Opinion Design,OPD,"Single Page/Broadsheet 175,000 and over",Heather Hopp-Bruce,Ideas Design supervisor/Illustrator,Katie Kingsbury,Ideas Editor,Alex Kingsbury,Deputy Ideas Editor,Rob Dobi,Illustrator,,,,,,,,,,,,
215,0347,The Boston Globe,Boston,Mass.,United States,Award of Excellence,AE,7,"Features Design, Pages",FDP,"Arts & Entertainment/Broadsheet 175,000 and over",Ryan Huddle,Editorial Designer/Illustrator,,,,,,,,,,,,,,,,,,
216,0965,The Boston Globe,Boston,Mass.,United States,Award of Excellence,AE,7,Illustration,ILL,Arts & Entertainment/Color,Ryan Huddle,Editorial Designer/Illustrator,,,,,,,,,,,,,,,,,,
217,0316,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Sports/Broadsheet 50,000-174,999",Jason Baum,Designer,Vince Chiaramonte,Design Director,James Wojtanik,Assistant Sports Editor,Lisa Wilson,Executive Sports Editor,,,,,,,,,,,,
218,1041,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,Special Sections,SPS,Sports/Inside Page(s),Jason Baum,Designer,Vince Chiaramonte,Design Director,Daniel Zakroczemski,Illustrator,James Wojtanik,Assistant Sports Editor,Lisa Wilson,Executive Sports Editor,,,,,,,,,,
219,0364,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"A-Section/Broadsheet 50,000-174,999",Vince Chiaramonte,Design Director,Derek Gee,Chief Photographer,Cathaleen Curtiss,Director/Photography,,,,,,,,,,,,,,
220,0676,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Broadsheet 50,000-174,999",Vince Chiaramonte,Design Director,Derek Gee,Chief photographer,Cathaleen Curtis,Director of Photography,,,,,,,,,,,,,,
221,0710,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Broadsheet 50,000-174,999",Vince Chiaramonte,Design Director,Derek Gee,Chief photographer,Cathaleen Curtis,Director of Photography,,,,,,,,,,,,,,
222,0449,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Inside page/Broadsheet 50,000-174,999",Vince Chiaramonte,Design Director,Derek Gee,Chief Photographer,Cathaleen Curtiss,Director/Photography,,,,,,,,,,,,,,
223,0185,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,"Photography, Multiple Photos",PMP,Multi-Day Photo Series,Derek Gee,Chief Photographer,Cathaleen Curtis,Director of Photography,Vince Chiaramonte,Design Director,,,,,,,,,,,,,,
224,0308,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,"Photography, Multiple Photos",PMP,Photo Page Design,Vince Chiaramonte,Design Director,Derek Gee,Chief Photographer,Cathaleen Curtiss,Director/Photography,,,,,,,,,,,,,,
225,0182,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,"Photography, Multiple Photos",PMP,Single-Day Photo Series,Derek Gee,Chief Photographer,Cathaleen Curtis,Director of Photography,Vince Chiaramonte,Design Director,,,,,,,,,,,,,,
226,0292,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,"Photography, Multiple Photos",PMP,Single-Day Photo Series,Derek Gee,Chief Photographer,Cathaleen Curtis,Director of Photography,Vince Chiaramonte,Design Director,,,,,,,,,,,,,,
227,0304,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,"Photography, Multiple Photos",PMP,Single-Day Photo Series,Derek Gee,Chief Photographer,Cathaleen Curtis,Director of Photography,Vince Chiaramonte,Design Director,,,,,,,,,,,,,,
228,0023,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,"Photography, Single Photos",PSP,General News (planned),Derek Gee,Chief Photographer,Cathaleen Curtis,Director of Photography,,,,,,,,,,,,,,,,
229,0024,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,"Photography, Single Photos",PSP,General News (planned),Derek Gee,Chief Photographer,Cathaleen Curtis,Director of Photography,,,,,,,,,,,,,,,,
230,0455,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,Special Coverage,SPC,News,Vince Chiaramonte,Design Director,Derek Gee,Chief Photographer,Cathaleen Curtiss,Director/Photography,,,,,,,,,,,,,,
231,0172,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,Special News Topics,SNT,Editor's Choice: Local/Regional,Vince Chiaramonte,Design Director,Derek Gee,Chief Photographer,Cathaleen Curtiss,Director/Photography,,,,,,,,,,,,,,
232,1085,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,Special Sections,SPS,News/No ads,Vince Chiaramonte,Design Director,Derek Gee,Chief Photographer,Cathaleen Curtiss,Director of Photography,,,,,,,,,,,,,,
233,1052,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,Special Sections,SPS,News/Section Cover,Vince Chiaramonte,Design Director,Derek Gee,Photographer,Cathaleen Curtiss,Director of Photography,,,,,,,,,,,,,,
234,0291,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,Breaking News Topics,BNT,Obituaries,Vince Chiaramonte,Design Director,Brian Connolly,Managing Editor,Jason Baum,Designer,Liku Gao,Designer,,,,,,,,,,,,
235,0301,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,Special News Topics,SNT,Editor's Choice: National,Vince Chiaramonte,Design Director,Jason Baum,Designer,Liku Gau,Designer,Lisa Wilson,Executive Sports Editor,,,,,,,,,,,,
236,0305,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,"Photography, Multiple Photos",PMP,Photo Page Design,Mark Mulville,Photographer,Vince Chiaramonte,Design Director,Cathaleen Curtiss,Director of Photography,,,,,,,,,,,,,,
237,0177,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,"Photography, Multiple Photos",PMP,Single-Day Photo Series,Mark Mulville,Photographer,Cathaleen Curtis,Director of Photography,,,,,,,,,,,,,,,,
238,0985,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,Illustration,ILL,Sports/Color,Daniel Zakroczemski,Illustrator,Jason Baum,Designer,Vince Chiaramonte,Design Director,,,,,,,,,,,,,,
239,0313,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Sports/Broadsheet 175,000 and over",Jason Baum,Designer,Vince Chiaramonte,Design Director,Daniel Zakroczemski,Illustrator,Lisa Wilson,Executive Sports Editor,,,,,,,,,,,,
240,0862,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,Special Sections,SPS,Sports/Section Cover,Vince Chiaramonte,Design Director,Derek Gee,Chief Photographer,Cathaleen Curtiss,Director/Photography,,,,,,,,,,,,,,
241,0150,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,Breaking News Topics,BNT,Editor's Choice: National,Vince Chiaramonte,Design Director,Leah Samol,Designer,Bruce Andriatch,A.M.E./Features,,,,,,,,,,,,,,
242,0709,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Broadsheet 50,000-174,999",Vince Chiaramonte,Design Director,Leah Samol,Designer,Bruce Andriatch,A.M.E./Features,,,,,,,,,,,,,,
243,0148,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,Special News Topics,SNT,Editor's Choice: Features,Vince Chiaramonte,Design Director,Leah Samol,Designer,Daniel Zakroczemski,Illustrator,Bruce Andriatch,A.M.E./Features,,,,,,,,,,,,
244,0453,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,Special Coverage,SPC,Features,Leah Samol,Designer,Christina Wilemski,Designer,Sharon Cantillon,Photographer,Vince Chiaramonte,Design Director,Andrew Z. Galameau,Food Editor,Bruce Andriatch,A.M.E./Features,Cathaleen Curtis,Director of Photography,,,,,,
245,0295,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,Special News Topics,SNT,Editor's Choice: Features,Leah Samol,Designer,Christina Wilemski,Designer,Sharon Cantillon,Photographer,Vince Chiaramonte,Design Director,Andrew Galameau,Food Editor,Bruce Andriatch,A.M.E./Features,Cathaleen Curtis,Director of Photography,,,,,,
246,0147,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,Special News Topics,SNT,Editor's Choice: Sports,Jason Baum,Designer,Vince Chiaramonte,Design Director,Daniel Zakroczemski,Illustrator,James P. McCoy,Photographer,Lisa Wilson,Executive Sports Editor,,,,,,,,,,
247,1046,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,Special Sections,SPS,Sports/Section Cover,Jason Baum,Designer,Daniel Zakroczemski,Illustrator,Vince Chiaramonte,Design Director,Lisa Wilson,Executive Sports Editor,,,,,,,,,,,,
248,0409,CrainÕs Cleveland Business,Cleveland,Ohio,United States,Award of Excellence,AE,7,"Features Design, Pages",FDP,"Food/Compact 49,999 and under",Rebecca R. Markovitz,Art Director,Lisa Lorek,Calligrapher,BurkleHagen,Photography,,,,,,,,,,,,,,
249,0626,CrainÕs Cleveland Business,Cleveland,Ohio,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Business/Compact 49,999 and under",Rebecca R. Markovitz,Art Director,Lisa Lorek,Calligrapher,BurkleHagen,Photography,,,,,,,,,,,,,,
250,1048,CrainÕs Cleveland Business,Cleveland,Ohio,United States,Award of Excellence,AE,7,Illustration,ILL,News/Black & White,Rebecca R. Markovitz,Art Director,Lisa Lorek,Illustrator,,,,,,,,,,,,,,,,
251,0337,CrainÕs Cleveland Business,,,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Business/Compact 49,999 and under",Rebecca R. Markovitz,Art Director,Lisa  Lorek,Caligrapher,Timothy Magaw,Section Editor,,,,,,,,,,,,,,
252,0854,CrainÕs Cleveland Business,Cleveland,Ohio,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Inside page/Compact 49,999 and under",Rebecca R. Markovitz,Art Director,Lisa Lorek,Calligrapher,Timothy Magaw,Section Editor,,,,,,,,,,,,,,
253,0651,El Financiero,Mxico, ,Mexico,Award of Excellence,AE,7,"Information Graphics, Single",IGS,Nation & World/Non-Deadline,Juan Carlos Ramrez Gonzlez,Editor Grfico,Diego Quiroz,Modelado 3d,Jorge Rodriguez,Retoque Digital,Antonio  Ortega,Co-Editor,Nancy  Escobar,Editora,îscar Santiago,Director de Diseo,Enrique Quintana,Director General Editorial,Pablo Hiriart,Director General Informacin Politica y Social,Manuel Arroyo,Director General,,
254,0169,El Financiero,Mxico, ,Mexico,Award of Excellence,AE,7,"News Design, Pages",NDP,"Local/Compact 49,999 and under",Juan Carlos Ramrez Gonzlez,Editor Grfico,Diego Quiroz,Modelado 3d,Antonio  Ortega,Co-Editor,Nancy Escobar,Editora,îscar Santiago,Director de Diseo,Enrique Quintana,Director General Editorial,Pablo Hiriart,Director General Informacin Politica y Social,Manuel Arroyo,Director General,,,,
255,0075,El Financiero,Mxico, ,Mexico,Award of Excellence,AE,7,Special News Topics,SNT,Editor's Choice: National,Juan Carlos Ramrez Gonzlez,Editor Grfico,Diego Quiroz,Modelado 3d,Jorge Rodriguez,Retoque Digital,Antonio  Ortega,Co-Editor,Nancy  Escobar,Editora,Oscar Santiago,Director de Diseo,Enrique Quintana,Director General Editorial,Pablo Hiriart,Director General Informacin Politica y Social,Manuel Arroyo,Director General,,
256,0315,The Guardian,London,,England,Award of Excellence,AE,7,Breaking News Topics,BNT,Obituaries,Alex Breuer,Creative Director,,,,,,,,,,,,,,,,,,
257,1034,The Guardian,London,,United kingdom,Award of Excellence,AE,7,Special Sections,SPS,News/No ads,Andrew Stocks,Art Director,Alex Breuer,Creative Director,,,,,,,,,,,,,,,,
258,1096,The Globe and Mail,Toronto,Ont.,Canada,Award of Excellence,AE,7,Illustration,ILL,News/Color,Matt French,Assistant Art Director,,,,,,,,,,,,,,,,,,
259,0677,The Globe and Mail,Toronto,Ont.,Canada,Award of Excellence,AE,7,"News Design, Pages",NDP,"A-Section/Broadsheet 175,000 and over",Matt Frehner,Head of Presentation,Jason Chiu,Deputy Head of Presentation,Matt French,Assistant Art Director,,,,,,,,,,,,,,
260,0886,Gulf News,Dubai,,United arab emirates,Award of Excellence,AE,7,Illustration,ILL,Individual Portfolio of Work,Ramachandra Babu,Senior Illustrator,,,,,,,,,,,,,,,,,,
261,0934,Gulf News,Dubai,,United arab emirates,Award of Excellence,AE,7,Illustration,ILL,Individual Portfolio of Work,Ramachandra Babu,Senior Illustrator,,,,,,,,,,,,,,,,,,
262,0941,Gulf News,Dubai,,United arab emirates,Award of Excellence,AE,7,Illustration,ILL,Individual Portfolio of Work,Ramachandra Babu,Senior Illustrator,,,,,,,,,,,,,,,,,,
263,0767,Gulf News,Dubai,,United arab emirates,Award of Excellence,AE,7,Illustration,ILL,Portrait or Caricature/Color,Ramachandra Babu,Senior Illustrator,Mick OÕReilly,Senior Associate Editor,Manal Alafrangi,Opinion Editor,Miguel Angel Gomez,Design Director,Mohammed Almezel,Managing Editor,Abdul Hamid Ahmad,Executive Director Publications,,,,,,,,
264,0773,Gulf News,Dubai,,United arab emirates,Award of Excellence,AE,7,Illustration,ILL,Portrait or Caricature/Color,Ramachandra Babu,Senior Illustrator,Manal Alafrangi,Opinion Editor,Miguel Angel Gomez,Design Director,Mohammed Almezel,Managing Editor,Abdul Hamid Ahmad,Executive Director Publications,,,,,,,,,,
265,0774,Gulf News,Dubai,,United arab emirates,Award of Excellence,AE,7,Illustration,ILL,Portrait or Caricature/Color,Ramachandra Babu,Senior Illustrator,Manal Alafrangi,Opinion Editor,Miguel Angel Gomez,Design Director,Mohammed Almezel,Managing Editor,Abdul Hamid Ahmad,Executive Director Publications,,,,,,,,,,
266,0781,Gulf News,Dubai,,United arab emirates,Award of Excellence,AE,7,Illustration,ILL,Portrait or Caricature/Color,Ramachandra Babu,Senior Illustrator,Manal Alafrangi,Opinion Editor,Miguel Angel Gomez,Design Director,Mohammed Almezel,Managing Editor,Abdul Hamid Ahmad,Executive Director Publications,,,,,,,,,,
267,0815,Gulf News,Dubai,,United arab emirates,Award of Excellence,AE,7,Illustration,ILL,Portrait or Caricature/Color,Ramachandra Babu,Senior Illustrator,Manal Alafrangi,Opinion Editor,Miguel Angel Gomez,Design Director,Mohammed Almezel,M.E.,Abdul Hamid Ahmad,Executive Director Publications,,,,,,,,,,
268,1082,Gulf News,Dubai,,United arab emirates,Award of Excellence,AE,7,Illustration,ILL,Portrait or Caricature/Color,Ramachandra Babu,Senior Illustrator,,,,,,,,,,,,,,,,,,
